,area_km,circuity_avg,clustering_coefficient_avg,int_1_streets_prop,int_3_streets_prop,int_4_streets_prop,intersection_density_km,street_density_km,street_length_avg,streets_per_node_avg,city
0,8937.43,1.06,0.04,0.18,0.62,0.2,34.44,8844.47,148.1,2.86,New York
1,6850.05,1.1,0.04,0.32,0.58,0.09,18.39,6163.99,185.66,2.45,Atlanta
2,6325.26,1.07,0.04,0.17,0.57,0.25,27.05,7772.81,163.25,2.92,Chicago
3,5132.1,1.08,0.05,0.17,0.63,0.2,26.65,7302.51,159.19,2.87,Philadelphia
4,4852.29,1.09,0.05,0.2,0.68,0.11,24.23,6435.44,153.96,2.71,Boston
5,4612.32,1.07,0.05,0.15,0.61,0.23,34.16,9157.1,155.61,2.95,Dallas
6,4496.6,1.06,0.03,0.21,0.56,0.22,39.45,10589.61,150.87,2.82,Los Angeles
7,4303.34,1.08,0.04,0.2,0.57,0.22,33.49,8622.66,145.02,2.83,Houston
8,3461.21,1.07,0.04,0.15,0.63,0.22,31.1,8560.97,159.24,2.93,Detroit
9,3424.25,1.09,0.04,0.26,0.56,0.17,31.22,8255.2,145.77,2.66,Washington
10,3203.52,1.1,0.05,0.17,0.59,0.23,40.54,10619.55,148.88,2.89,Miami
11,2968.28,1.09,0.05,0.2,0.62,0.17,35.31,9099.78,149.5,2.77,Phoenix
12,2646.6,1.08,0.05,0.19,0.57,0.23,29.54,8675.71,166.55,2.84,Minneapolis
13,2616.71,1.07,0.03,0.3,0.54,0.16,31.57,8198.39,141.91,2.57,Seattle
14,2478.76,1.1,0.05,0.2,0.58,0.21,31.35,8457.73,153.1,2.83,Tampa
15,2392.11,1.1,0.04,0.22,0.62,0.15,29.68,8160.22,154.41,2.73,St. Louis
16,2344.64,1.09,0.04,0.23,0.6,0.16,23.57,6709.04,164.64,2.72,Pittsburgh
17,2244.93,1.11,0.02,0.36,0.56,0.08,26.57,6427.24,131.44,2.36,San Juan
18,2040.25,1.07,0.03,0.31,0.54,0.14,17.96,6099.45,185.76,2.51,Cincinnati
19,2003.99,1.07,0.04,0.19,0.66,0.14,19.13,6508.46,197.58,2.76,Cleveland
20,1919.69,1.08,0.04,0.3,0.57,0.11,21.0,6431.19,170.13,2.51,Charlotte
21,1897.37,1.08,0.03,0.28,0.54,0.17,28.89,8320.49,159.4,2.62,San Diego
22,1856.86,1.09,0.04,0.23,0.59,0.17,27.72,7559.63,152.32,2.72,Baltimore
23,1827.96,1.08,0.05,0.23,0.59,0.17,27.62,7630.07,156.98,2.7,Indianapolis
24,1755.83,1.06,0.04,0.21,0.58,0.2,32.09,8568.44,151.71,2.79,Kansas City
25,1729.19,1.07,0.05,0.2,0.57,0.22,40.6,9844.94,138.05,2.84,Denver
26,1547.96,1.11,0.06,0.2,0.61,0.18,26.3,7441.59,163.34,2.79,Orlando
27,1546.75,1.07,0.05,0.17,0.6,0.21,28.33,7910.36,162.45,2.87,San Antonio
28,1459.61,1.08,0.03,0.27,0.59,0.14,19.08,6102.07,181.1,2.6,Nashville
29,1413.45,1.06,0.06,0.14,0.55,0.3,28.27,7809.0,157.49,3.03,Milwaukee
