zillow_neighborhood,city,state,geoid,area_km,avg_neighbor_degree_avg,avg_weighted_neighbor_degree_avg,circuity_avg,cluster_coeff_avg,cluster_coeff_weighted_avg,count_intersections,degree_centrality_avg,edge_density_km,edge_length_avg,edge_length_total,intersect_density_km,k_avg,edge_count,node_count,node_density_km,pagerank_max,pagerank_min,self_loop_proportion,street_density_km,street_length_avg,street_length_total,street_segments_count,streets_per_node_avg,dead_end_count,dead_end_proportion,intersect_3way_count,intersect_3way_proportion,intersect_4way_count,intersect_4way_proportion
Airmont,Mobile,AL,0150000,4.088216148919956,2.587813620071684,0.03388828422711941,1.0575689192067057,0.06164874551971326,0.006616826386825939,160,0.02603894216797441,16353.88669976547,149.23710648122432,66858,39.13687392538419,4.817204301075268,448,186,45.49661593825912,0.014938552767873762,0.0008281692535715401,0.033482142857142856,9024.028903482878,146.39754242674266,36892.18069153915,252,2.8978494623655915,26.0,0.13978494623655913,129.0,0.6935483870967742,30.0,0.16129032258064516
Alderbrook,Mobile,AL,0150000,4.050472786006456,2.6096938775510203,0.04988886166862752,1.0444318878620455,0.027210884353741496,0.003823420662506947,63,0.04228908058068583,6331.716236174399,127.59425026537123,25646,15.553739854184911,4.1020408163265305,201,98,24.1947064398432,0.027109647895260863,0.0018892006418469933,0.0,3186.807752211567,126.54978504477795,12908.078074567351,102,2.336734693877551,35.0,0.35714285714285715,56.0,0.5714285714285714,6.0,0.061224489795918366
Alligator Bayou,Mobile,AL,0150000,5.270350583119559,2.7894736842105257,0.03187578304219632,1.0726890452555375,0.03728070175438596,0.006513516875155817,127,0.034855350296270474,8853.73111355915,116.65566734282564,46662,24.09706868586107,5.2631578947368425,400,152,28.84058614370774,0.013182162039642963,0.001009421265141319,0.02,4507.6518228572995,116.45541869164668,23756.90541309592,204,2.7434210526315788,25.0,0.16447368421052633,116.0,0.7631578947368421,11.0,0.07236842105263158
Argyle,Mobile,AL,0150000,7.183358515100538,1.5,0.008521141783819805,1.231835842370971,0.0902777777777778,0.05210542973169701,12,0.12318840579710146,1055.0291781464675,222.90155383876325,7578,1.6705277865185386,2.833333333333333,34,24,3.341055573037077,0.08926842013214388,0.009174311926605505,0.05882352941176471,554.4598587418309,221.2713304208096,3982.8839475745726,18,2.1666666666666665,12.0,0.5,8.0,0.3333333333333333,4.0,0.16666666666666666
Arlington,Mobile,AL,0150000,0.8914700026805424,2.360486891385768,0.03150973830935861,1.022394395145756,0.0,0.0,71,0.04596527068437186,21282.279310335456,105.40285329907113,18972,79.64373426644934,4.044943820224719,180,89,99.83510351709845,0.04061094658789649,0.0017453846692012534,0.0,13531.54245687568,112.73798308694236,12062.964190302837,107,2.7191011235955056,18.0,0.20224719101123595,56.0,0.6292134831460674,13.0,0.14606741573033707
Audubon,Mobile,AL,0150000,6.6790022976070675,2.306737588652483,0.026097022655095312,1.0993211833039545,0.03900709219858156,0.002307614521632442,67,0.042781972088766836,3917.5343236128265,139.92096656879477,26165,10.031438381748202,3.9787234042553186,187,94,14.073958326631805,0.0328605853513312,0.0016402405686167304,0.0,2397.4626301438348,151.0628152373373,16012.658415157757,106,2.521276595744681,27.0,0.2872340425531915,58.0,0.6170212765957447,9.0,0.09574468085106383
Autumndale,Mobile,AL,0150000,3.901593422708914,2.3194444444444446,0.02832810299490225,1.1544933374431503,0.025462962962962958,0.004549107793061105,48,0.05633802816901404,5223.495823393389,141.52747880624398,20379,12.302665808441189,4.0,144,72,18.453998712661786,0.03381065573566736,0.002214022140221402,0.027777777777777776,2677.3644340021074,141.16199278239728,10445.9874658974,74,2.4166666666666665,24.0,0.3333333333333333,42.0,0.5833333333333334,6.0,0.08333333333333333
Azalea,Mobile,AL,0150000,4.224966760062079,2.540666666666667,0.02664150439633249,1.1489188510985129,0.02266666666666667,0.003494666234314566,92,0.036129032258064527,10180.851370051934,153.6205665271496,43013,21.77531924503193,4.48,280,125,29.586031582923823,0.017405242323950732,0.001208215867901732,0.0,5090.4256850258,153.62056652714458,21506.879313800244,140,2.504,33.0,0.264,88.0,0.704,4.0,0.032
Baker,Mobile,AL,0150000,3.796124386531944,2.662777777777777,0.03074834637170588,1.0468158339306253,0.017777777777777778,0.0012328984114536228,89,0.02756152125279648,10158.771319878671,125.20766085906729,38563,23.444964110174602,4.1066666666666665,308,150,39.51398445535045,0.015877622857969884,0.0016910768875861145,0.0,5114.574404489294,124.45872194624296,19415.5606236139,156,2.24,61.0,0.4066666666666667,81.0,0.54,8.0,0.05333333333333334
Baltimore,Mobile,AL,0150000,1.9111464230852924,3.00968992248062,0.03366504375290103,1.0049405699852605,0.01937984496124031,0.0026876459453196114,121,0.04348352713178295,20817.246681460994,110.82118811631855,39784,63.3127836456725,5.565891472868217,359,129,67.49875281232853,0.018294731945386937,0.0011958324498002409,0.0,10766.927604215649,110.0383699380483,20577.17517841504,187,3.2713178294573644,8.0,0.06201550387596899,73.0,0.5658914728682171,46.0,0.35658914728682173
Bates,Mobile,AL,0150000,12.327174850761594,2.1084770114942533,0.024289603517874583,1.2210051619886664,0.08908045977011496,0.006953802714224204,89,0.03358320839580209,3360.0880235957397,184.91246687863682,41420,7.219821335989357,3.8620689655172415,224,116,9.410104213199613,0.019741428808370428,0.0013510309637972517,0.026785714285714284,1977.175638308368,186.0533572831559,24372.989804093424,131,2.6293103448275863,27.0,0.23275862068965517,78.0,0.6724137931034483,11.0,0.09482758620689655
Bayside,Mobile,AL,0150000,6.680766070059144,2.602564102564102,0.02774983842589645,1.0853518155789703,0.03205128205128205,0.001850919973992448,113,0.030024813895781637,8494.096489587084,156.32802100121725,56747,16.91422792161912,4.653846153846153,363,156,23.350615537810462,0.01475761669801916,0.0009721322099805576,0.027548209366391185,4392.126334205265,155.25274385699356,29342.768588971783,189,2.480769230769231,43.0,0.27564102564102566,108.0,0.6923076923076923,5.0,0.03205128205128205
Bayview,Mobile,AL,0150000,2.7283771616380297,2.588935574229692,0.03395649088756355,1.0576491631513798,0.008403361344537815,0.0005058747567200975,86,0.03703176185728523,13874.203469238415,145.59253800534316,37854,31.520568786893215,4.369747899159663,260,119,43.61567076325922,0.019089768596832604,0.001269572577232332,0.007692307692307694,7099.592709289762,147.86539393097755,19370.366604958053,131,2.4705882352941178,33.0,0.2773109243697479,83.0,0.6974789915966386,3.0,0.025210084033613446
