urbanized_area,geoid,area_km,avg_neighbor_degree_avg,avg_weighted_neighbor_degree_avg,circuity_avg,cluster_coeff_avg,cluster_coeff_weighted_avg,count_intersections,degree_centrality_avg,edge_density_km,edge_length_avg,edge_length_total,dead_end_count,dead_end_proportion,intersect_3way_count,intersect_3way_proportion,intersect_4way_count,intersect_4way_proportion,intersect_density_km,k_avg,edge_count,node_count,node_density_km,pagerank_max,pagerank_min,self_loop_proportion,street_density_km,street_length_avg,street_length_total,street_segments_count,streets_per_node_avg
"New York--Newark, NY--NJ--CT Urbanized Area",63217,8937.429045,2.8918120747424374,0.03825917116590919,1.0603429719696191,0.037873890759983216,0.0002603221008610964,307848,1.4087993404210391e-05,15925.250512310016,144.9919792650514,142330796,65460,0.17535071482337689,229681,0.6152570658623285,75294,0.20169350323726454,34.444804926560394,5.259160641720399,981646,373309,41.769170767162144,9.512738338871006e-06,4.050018524750175e-07,0.007042253521126761,8844.471430991605,148.09517412421212,79046835.8550171,533757,2.855058410057084
"Atlanta, GA Urbanized Area",03817,6850.045152,2.758074812382393,0.026857892025503646,1.0986803341523903,0.03628629817118943,0.0005261399831841221,125948,2.5093435115063244e-05,11463.474331040847,182.2884725585812,78525316,59346,0.3202802033525101,108342,0.5847032283830021,16781,0.0905641844851965,18.386448148188787,4.649637872785951,430775,185294,27.05004067687057,2.117488039491496e-05,8.11565083182019e-07,0.010281469444605652,6163.986937628229,185.6602154525977,42223588.83909157,227424,2.451514889850724
"Chicago, IL--IN Urbanized Area",16264,6325.255332,2.9802704754118197,0.028692106709103268,1.0656257228846933,0.03581385553096785,0.0006463060194758213,171122,2.6575417743976803e-05,14235.536574176951,160.42281969273128,90043403,34405,0.16739893055413646,117716,0.5727519985208755,51783,0.2519522982381877,27.053769534690467,5.461939307244303,561288,205527,32.493075648696994,1.7135647567467918e-05,7.322227501739212e-07,0.01105849403514773,7772.813508141421,163.24893941219509,49165030.08701315,301166,2.9194947622453498
"Philadelphia, PA--NJ--DE--MD Urbanized Area",69076,5132.095,2.8402407953031226,0.0997891415647106,1.0804819788438524,0.0483611226579131,0.0003742080476932063,136789,3.173513124887061e-05,13253.791234163424,159.520161077795,68019715,27140,0.16555948001878862,102796,0.6270763562273911,32576,0.1987201776378798,26.653637549577702,5.202276595355307,426402,163929,31.94192625039092,2.680862698376902e-05,9.193009055700724e-07,0.00998353666258601,7302.505354002001,159.19272455503742,37477151.2147469,235420,2.873054798113817
"Boston, MA--NH--RI Urbanized Area",09271,4852.285339,2.7768592362710613,0.030161807765863493,1.089688034242439,0.050355167374732765,0.000590824369640601,117553,3.41421354051121e-05,11768.845380333738,153.5853452386686,57105795,30030,0.2034787204488322,99830,0.6764329224910728,16538,0.11205897698244377,24.22631642355689,5.03876462736223,371818,147583,30.41515279693241,2.590494805186126e-05,1.0199611723289274e-06,0.023745488384101898,6435.435076464643,153.95589993302568,31226567.271615736,202828,2.7093228894926917
"Dallas--Fort Worth--Arlington, TX Urbanized Area",22042,4612.3170979999995,2.7891799564970965,0.03000882198075397,1.070648722843398,0.04522603994620213,0.0005128351405640548,157570,2.783456862280023e-05,15591.342393248826,151.52396917180363,71912215,27095,0.14672515094901578,113212,0.6130669049359652,43225,0.23407250967969026,34.16287229434545,5.140042780169496,474593,184665,40.037359981184885,2.157948768440698e-05,8.15488440015039e-07,0.004783045683353948,9157.104655206058,155.6121451260332,42235470.3693823,271415,2.9476457368748816
"Los Angeles--Long Beach--Anaheim, CA Urbanized Area",51445,4496.596605,2.939281008636103,0.03161592394477518,1.059592724737357,0.03245687942591557,0.0007865451071961693,177412,2.3414531884804683e-05,19054.305964170613,146.32441146132376,85679527,46230,0.2067143023224618,124699,0.5575831015641071,50102,0.2240276871070729,39.45472889489939,5.236449325260908,585545,223642,49.73583793380996,1.6280015758424076e-05,6.723034950475772e-07,0.003019409268288517,10589.614190458657,150.87457611047947,47617223.21707621,315608,2.8195777179599535
"Houston, TX Urbanized Area",40429,4303.344832,2.750389338873345,0.032106425152394716,1.0816280644017815,0.03622450680215116,0.0003163287864984397,144111,2.7404498094834906e-05,14751.553064445356,142.9817100857126,63481019,35895,0.19941001966601116,102526,0.5695699032254481,40478,0.22487028210170773,33.488136699708484,4.932946679555126,443980,180006,41.82932277735721,2.0978089180194325e-05,8.373813010394937e-07,0.011856389927474209,8622.659029935925,145.02286430177202,37106275.17457289,255865,2.8302112151817163
"Detroit, MI Urbanized Area",23824,3461.205529,2.896118994525293,0.027887082222246763,1.066151675445163,0.03685530555615478,0.0007796488716532562,107654,4.268628946387096e-05,15649.760621043899,159.82673323994683,54167037,18359,0.14569131756247372,78948,0.6265067889820891,28059,0.22266750255925974,31.103035950339255,5.37898470792696,338911,126013,36.40725722416353,3.0731167117227176e-05,1.1925129464331936e-06,0.012209695170708534,8560.974887357206,159.2386843028085,29631293.61375091,186081,2.9338719021053383
"Washington, DC--VA--MD Urbanized Area",92242,3424.251729,2.766935173202583,0.03423545080875502,1.0857046194363127,0.0424179857198515,0.0004495627926029909,106913,3.3251803755782075e-05,14299.828486406841,141.04593613694374,48966212,37590,0.26013300761921904,80425,0.556562839525823,25193,0.17434240119582292,31.22229569004913,4.804952146322222,347165,144503,42.19987647993387,2.9452661504594427e-05,1.0433187911575597e-06,0.015381734909913153,8255.198468450408,145.7708211057625,28267877.628829464,193920,2.6617094454786407
